序号,交付件,锚行,缺闸项(事实层),族,bet02聚合形态(实测·OBSERVED),免疫性证据(实测),拟需声明之Gate,豁免理由(人工填写·必填·须点名Gate),定谳(PASS/WAIVER_DECLARED/FAIL),填写人,日期
1,P0C04_同日泄漏检验.csv,6919,bet02='101',P0C 因果族,JOIN 标记会员集合后逐(会员×日) COUNT(*) + SUM(validbet),§A-P0-6f 实测：注单数与洗码量两臂比 2.000000 → 暴露；n_mem 比 1.000000,bet02,,,,
2,P0C05_标记时点定位.csv,6966,bet02='101',P0C 因果族,bet02 侧仅 MIN(dt)/MAX(dt)/COUNT(DISTINCT dt),MIN/MAX/DISTINCT 对重复行结构性免疫；§A-P0-6b 佐证 last_bet_date 相异 0 例,bet02,,,,
3,P0C06_LabelB骨架.csv,7002,bet02='101',P0C 因果族,"JOIN DISTINCT mem 后 GROUP BY (mem, dt) 取锚日；其后 MAX(CASE...)",GROUP BY 去重 + MAX 聚合 → 结构性免疫（待逐条复核 anchor_day 之下游用法）,bet02,,,,
4,P0C09_安慰剂检验.csv,7121,bet02='101',P0C 因果族,JOIN 标记会员集合后逐(会员×日) COUNT(*) + SUM(validbet),同 P0C04：两臂比 2.000000 → 暴露；且为安慰剂对照，偏差最不可容忍,bet02,,,,
5,TL08_treatment_events.csv,7671,bet02='101',TL 处置台账族,bet02 唯一用法：SELECT DISTINCT CAST(bet05 AS STRING)（会员宇宙）,"§A-P0-6b 实测：n_members_raw = n_members_canon = n_members_common = 723,557 → 免疫",bet02,,,,
6,TL10_treatment_ledger.csv,7745,bet02='101',TL 处置台账族,同 TL08：仅 DISTINCT bet05,"同 §A-P0-6b：723,557 三值相等 → 免疫",bet02,,,,
7,TL11_treatment_episode.csv,7834,rn=1,TL 处置台账族,DISTINCT bet05 ＋ GROUP BY bet05 取 MAX(dt) 与 COUNT(*) AS n_bets_in_window,"§A-P0-6b：last_bet_date 相异 0（MAX 免疫）；n_bets 相异 21,225 会员 → 该一列不免疫",rn,,,,
8,TL11c_population_reconcile.csv,8103,bet02='101',TL 处置台账族,bet02 侧仅 DISTINCT bet05；COUNT(*) 作用于 log_mem_change 派生集,同 §A-P0-6b → bet02 侧免疫（COUNT(*) 之料源非 bet02）,bet02,,,,
9,P01D_vs_validbet.csv,8408,rn=1,P01 恒等族(§Z-18),行内比值 b41/vb、b16/vb 之分位,"§A-P0-2：H16 两臂 Δ=0；n_members 两臂皆 723,557 → 恒等结论不受版本影响；惟分位受加权",rn,,,,
10,P01E_identity_test.csv,8429,rn=1,P01 恒等族(§Z-18),行内恒等残差 err = b17-(b14-b13+b16/b41),§A-P0-2 实测：H16 两臂皆 100.000000%、abs_err_max=0、Δ=0E-8 → rn 非必要,rn,,,,
11,P02C_key_check.csv,8517,rn=1,P02 处置样本族(§Z-19),"bet02 侧为 LEFT JOIN (SELECT DISTINCT CAST(NULLIF(TRIM(bet05),'') AS BIGINT))",DISTINCT 会员集合 → 结构性免疫；主体 COUNT(*) 作用于 log_mem_change 非 bet02,rn,,,,
12,K01b_seed_goldip.csv,4771,rn=1,K 种子族,SELECT DISTINCT b.bet05（金标准 IP 白名单交集）,DISTINCT → 免疫；另有既有实测『查询返回零行』待复验（零行则影响为空集）,rn,,,,
13,V_ipmatch.csv,2866,四闸全缺,卷一旧式,两处触 bet02：DISTINCT TRIM(ip) 与 DISTINCT age001；皆为集合取用,DISTINCT → 对重复行免疫；惟四闸全缺属 §Z-13 既有登记，须另行声明,"bet02,rn,age022,category,bet38",,,,
14,TL14_limit_treatment.csv,4192,四闸全缺,TL 处置台账族,仅 1 处触 bet02；主体读 ods_a168_bet_limit_default 快照（已以 dt=MAX(dt) 去重）,限红快照自带最新版过滤；bet02 侧用法待逐条复核,"bet02,rn,age022,category,bet38",,,,
