源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,mem_id,site,sid,this_login,last_login,ip,info,on_line,来源库,来源表,ODS表名,同步时间
1035556,2018-12-20,1035556,0,,2018-12-20T20:01:01Z,0000-00-00 00:00:00,103.67.205.46,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:54:45Z
1061710,2018-12-20,1061710,0,,2018-12-20T18:01:01Z,0000-00-00 00:00:00,14.136.229.72,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:54:45Z
1083408,2018-12-20,1083408,0,,2018-12-20T01:01:01Z,2018-12-19 00:51:48,118.107.177.208,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:55:11Z
1089330,2018-12-20,1089330,0,,2018-12-20T20:01:01Z,0000-00-00 00:00:00,103.67.205.47,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:55:11Z
1132788,2018-12-20,1132788,0,,2018-12-20T09:01:01Z,0000-00-00 00:00:00,203.74.36.168,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:55:11Z
1133820,2018-12-20,1133820,0,,2018-12-20T12:01:01Z,2018-12-19 11:59:01,118.107.177.208,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:55:11Z
1197255,2018-12-20,1197255,0,,2018-12-20T00:01:01Z,0000-00-00 00:00:00,175.98.118.201,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:55:11Z
120521,2018-12-20,120521,0,,2018-12-20T22:01:02Z,0000-00-00 00:00:00,175.98.118.201,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:53:25Z
120956,2018-12-20,120956,0,,2018-12-20T00:01:01Z,2018-12-18 23:58:02,43.249.30.30,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:53:25Z
123122,2018-12-20,123122,0,,2018-12-20T20:01:01Z,2018-12-19 16:34:58,43.245.200.41,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:53:25Z
1258812,2018-12-20,1258812,0,,2018-12-20T05:01:01Z,2018-12-19 04:06:55,119.81.162.133,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:55:11Z
1264067,2018-12-20,1264067,0,,2018-12-20T15:01:01Z,2018-12-18 15:01:01,124.122.91.22,,1,a168,mem_login,ods_a168_mem_login,2026-05-21T19:55:37Z
1298082,2018-12-20,1298082,0,,2018-12-20T15:01:01Z,2018-12-18 20:01:01,103.1.250.19,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:55:37Z
1322367,2018-12-20,1322367,0,,2018-12-20T19:01:01Z,2018-12-18 20:36:10,13.250.126.119,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:55:37Z
1335626,2018-12-20,1335626,0,,2018-12-20T08:01:01Z,0000-00-00 00:00:00,175.98.118.202,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:56:01Z
1346652,2018-12-20,1346652,0,,2018-12-20T12:01:01Z,2018-12-19 11:45:49,35.200.122.192,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:56:01Z
1364608,2018-12-20,1364608,0,,2018-12-20T06:01:01Z,2018-12-19 05:18:25,54.92.96.113,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:56:01Z
1389480,2018-12-20,1389480,0,,2018-12-20T19:01:01Z,2018-12-14 16:22:38,103.1.250.166,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:56:01Z
1422564,2018-12-20,1422564,0,,2018-12-20T00:01:01Z,2018-12-18 23:05:38,119.81.162.133,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:56:01Z
1448676,2018-12-20,1448676,0,,2018-12-20T16:01:01Z,0000-00-00 00:00:00,206.189.45.10,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:56:01Z
1528543,2018-12-20,1528543,0,,2018-12-20T17:01:02Z,0000-00-00 00:00:00,175.98.118.204,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:56:26Z
1564548,2018-12-20,1564548,0,,2018-12-20T20:01:01Z,0000-00-00 00:00:00,103.67.205.44,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:56:26Z
1612180,2018-12-20,1612180,0,,2018-12-20T13:01:01Z,0000-00-00 00:00:00,47.52.162.61,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:56:50Z
1637560,2018-12-20,1637560,0,,2018-12-20T17:01:02Z,0000-00-00 00:00:00,103.67.205.47,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:56:50Z
1657031,2018-12-20,1657031,0,,2018-12-20T14:01:01Z,0000-00-00 00:00:00,103.67.205.45,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:56:50Z
1671059,2018-12-20,1671059,0,,2018-12-20T14:01:01Z,2018-12-15 00:01:11,13.250.126.119,,0,a168,mem_login,ods_a168_mem_login,2026-05-21T19:56:50Z
