源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,"",_1,_2,_3,_4,_5,来源库,来源表,ODS表名,同步时间
032f6019bf1fd20c419753e466d5b584,2026-03-22,58512079,S,12572,5,202.14.9.199,2026-03-22T03:50:25Z,a168,iphistory,ods_a168_iphistory,2026-05-19T18:29:04Z
035591a5f14495d0351680ad7ff6ef8d,2026-03-22,58512949,M,90456126,7,182.6.5.148,2026-03-22T22:08:50Z,a168,iphistory,ods_a168_iphistory,2026-05-19T18:29:04Z
03f2524d44675c9814b07cb5ac6be148,2026-03-22,58512299,A,4163,5,115.133.48.223,2026-03-22T10:30:39Z,a168,iphistory,ods_a168_iphistory,2026-05-19T18:29:04Z
0645cac59e767e54789b5e0fd9a04fde,2026-03-22,58512457,A,39652,5,54.150.20.255,2026-03-22T13:45:23Z,a168,iphistory,ods_a168_iphistory,2026-05-19T18:29:04Z
0694f7bf9b603e88fc94e289ed9ea5b8,2026-03-22,58512259,A,35765,4,8.209.197.154,2026-03-22T09:39:39Z,a168,iphistory,ods_a168_iphistory,2026-05-19T18:29:04Z
079a06853a512c6adfe4290392a33c94,2026-03-22,58512076,M,144599169,7,182.239.89.249,2026-03-22T03:45:29Z,a168,iphistory,ods_a168_iphistory,2026-05-19T18:29:04Z
0a0da4be66583f1d3cf7514422f46c77,2026-03-22,58512622,M,145368266,7,202.124.43.214,2026-03-22T15:20:08Z,a168,iphistory,ods_a168_iphistory,2026-05-19T18:29:04Z
0a4978626ab29bd1be5423bc4fb4b92c,2026-03-22,58512197,C,270,0,202.124.43.214,2026-03-22T08:07:24Z,a168,iphistory,ods_a168_iphistory,2026-05-19T18:29:04Z
0dc8c3012cf1e6d0a00d9dbc909e6ec9,2026-03-22,58512872,A,45888,5,221.126.21.112,2026-03-22T20:08:34Z,a168,iphistory,ods_a168_iphistory,2026-05-19T18:29:04Z
0e15757a94584a132dde235015738ee6,2026-03-22,58512122,A,54602,3,218.103.201.154,2026-03-22T05:22:04Z,a168,iphistory,ods_a168_iphistory,2026-05-19T18:29:04Z
10368f787cf4d374a08290baee3c7bfb,2026-03-22,58512709,M,145836980,7,115.164.52.20,2026-03-22T17:02:40Z,a168,iphistory,ods_a168_iphistory,2026-05-19T18:29:04Z
1268a57e53a7da4104bce78c571d002c,2026-03-22,58512663,C,294,0,16.163.241.113,2026-03-22T16:02:32Z,a168,iphistory,ods_a168_iphistory,2026-05-19T18:29:04Z
14bf25c6fe698b6ddd338394c6837400,2026-03-22,58511977,S,3630,4,3.113.84.3,2026-03-22T00:32:58Z,a168,iphistory,ods_a168_iphistory,2026-05-19T18:29:04Z
17508e8569fcb28df6200ec0670801c4,2026-03-22,58512642,A,1307,5,103.119.154.72,2026-03-22T15:33:21Z,a168,iphistory,ods_a168_iphistory,2026-05-19T18:29:04Z
197b7c2dee560b15d44a2f287a639405,2026-03-22,58513009,C,270,0,202.124.43.214,2026-03-22T23:46:51Z,a168,iphistory,ods_a168_iphistory,2026-05-19T18:29:04Z
1ca2308cfc75e5ee4b5effdcd705c427,2026-03-22,58511994,S,11384,5,172.105.221.119,2026-03-22T01:00:03Z,a168,iphistory,ods_a168_iphistory,2026-05-19T18:29:04Z
2063b3963dea4c9268568cee1daeaa21,2026-03-22,58512316,C,270,0,202.124.43.214,2026-03-22T10:48:27Z,a168,iphistory,ods_a168_iphistory,2026-05-19T18:29:04Z
