file,line,term,value,dist,discriminative,sentence
a168_多源风控文档交叉核验说明书_R3合并斧正本_审计工作底稿.qmd,1330,自相关,0.112,4,True,"数据 = c(""个体毛利率两期自相关仅 **0.112**"
a168_多源风控文档交叉核验说明书_R3合并斧正本_审计工作底稿.qmd,1330,Spearman,0.2,3,True,"当前模型 Spearman 约 0.20"","
a168_多源风控文档交叉核验说明书_R3合并斧正本_审计工作底稿.qmd,1332,Jaccard,0.02,5,True,"""秩持续性 Jaccard 仅 **0.02**"","
a168_能力值口径解读_SQL转R.qmd,196,索提诺,1,2,False,"生命周期阶段=1, 索提诺稳定性=-1, 对打指数=-1, 批量注册嫌疑=-1,"
a168_能力值口径解读_SQL转R.qmd,196,索提诺,1,5,False,"生命周期阶段=1, 索提诺稳定性=-1, 对打指数=-1, 批量注册嫌疑=-1,"
a168_能力值口径解读_SQL转R.qmd,430,Spearman,0.98,3,True,判读：Spearman ≥ 0.98 且 Top500 重合 ≥ 0.90 → 可互换
a168_能力值口径解读_SQL转R_v7_2.qmd,1128,索提诺,1,2,False,"生命周期阶段=1, 索提诺稳定性=-1, 对打指数=-1, 批量注册嫌疑=-1,"
a168_能力值口径解读_SQL转R_v7_2.qmd,1128,索提诺,1,5,False,"生命周期阶段=1, 索提诺稳定性=-1, 对打指数=-1, 批量注册嫌疑=-1,"
a168_能力值口径解读_SQL转R_v7_2_p.qmd,1128,索提诺,1,2,False,"生命周期阶段=1, 索提诺稳定性=-1, 对打指数=-1, 批量注册嫌疑=-1,"
a168_能力值口径解读_SQL转R_v7_2_p.qmd,1128,索提诺,1,5,False,"生命周期阶段=1, 索提诺稳定性=-1, 对打指数=-1, 批量注册嫌疑=-1,"
a168_评分误判率与失误率最小化_专题方案_v3.9.qmd,1192,索提诺,1,6,False,"##             ""索提诺稳定性"":-1,""对打指数"":-1,""批量注册嫌疑"":-1,""IP结构风险"":-1,""人工标记史"":-1}"
a168_评分误判率与失误率最小化_专题方案_v3.9.qmd,1200,索提诺,1,5,False,"索提诺稳定性=-1, 对打指数=-1, 批量注册嫌疑=-1, IP结构风险=-1, 人工标记史=-1)"
a168_评分误判率与失误率最小化_专题方案_v3.9.qmd,1413,索提诺,1,2,False,"##                 生命周期阶段=1, 索提诺稳定性=-1, 对打指数=-1, 批量注册嫌疑=-1,"
a168_评分误判率与失误率最小化_专题方案_v3.9.qmd,1413,索提诺,1,5,False,"##                 生命周期阶段=1, 索提诺稳定性=-1, 对打指数=-1, 批量注册嫌疑=-1,"
a168_评分误判率与失误率最小化_专题方案_v3.9.qmd,1422,索提诺,1,2,False,"生命周期阶段=1, 索提诺稳定性=-1, 对打指数=-1, 批量注册嫌疑=-1,"
a168_评分误判率与失误率最小化_专题方案_v3.9.qmd,1422,索提诺,1,5,False,"生命周期阶段=1, 索提诺稳定性=-1, 对打指数=-1, 批量注册嫌疑=-1,"
a168_评分误判率与失误率最小化_专题方案_v3.9.qmd,1890,索提诺,0,8,False,"""剔返水后 `ROI>0`　**且**　索提诺比率高　**且**　注额斜率大"","
a168_评分误判率与失误率最小化_专题方案_v3.9.qmd,1987,自相关,0.112,2,True,主方案自身的实证亦不支持跨级——**个体平台毛利率的滞后一期自相关仅 0.112**，
a168商业决策计数兵法_三十三问经.qmd,534,索提诺,2,4,False,2. **索提诺「率」与「比率」**
a168商业决策计数兵法_三十三问经.qmd,605,索提诺,1,5,False,"索提诺稳定性=-1, 对打指数=-1, 批量注册嫌疑=-1, IP结构风险=-1, 人工标记史=-1),"
a168商业决策计数兵法_三十三问经.qmd,701,MASE,13.232,5,True,"实测 56,861,989 ÷ 3,995,319 − 1 = 13.232，与该表 MASE 逐位相同"
a168商业决策计数兵法_三十三问经.qmd,701,MASE,1,5,True,故它不是误差比而是提升倍数，冠 MASE 之名即为误称，且方向判读完全相反（MASE 定义 <1 为优，此处 >1 为优）
a168商业决策计数兵法_三十三问经.qmd,773,MASE,1,5,True,其 >1 在此语境下恰为「更优」，与 MASE 定义（<1 为优）方向完全相反，读者按定义判读必然误解
a168商业决策计数兵法_三十三问经.qmd,1001,索提诺,20,5,False,"项目 = c(""纳入会员数（活跃日 ≥ 20）"", ""索提诺率 P50"", ""索提诺率 P90"","
a168商业决策计数兵法_三十三问经.qmd,1253,索提诺,0,2,False,<b>本书补：回撤为 0 与索提诺率不可算，须自动触发同一张告警
a168商业决策计数兵法_三十三问经.qmd,1267,索提诺,100,2,False,本方案实测出现回撤为 0、胜期占比 100%、索提诺率不可算三者并见，此组合<b>须先按信息泄漏嫌疑立案复核</b>，复核未结前，四闸全过之结论不得对外汇报
a168商业决策计数兵法_三十三问经.qmd,1297,MASE,1,7,True,漏洞在<b>把一个收益序列与基线收益序列之差称为 MASE，会得出大于 1 却同时标注为大幅提升的自相矛盾结果</b>，此即 F-04 之根因
a168商业决策计数兵法_三十三问经.qmd,1305,MASE,1,3,True,"""用：优在 MASE 之 1 无须论证、无须现算"
a168商业决策计数兵法_三十三问经.qmd,1305,MASE,1,4,True,局限在 MASE 小于 1 只说明胜过朴素，不说明够用
a168商业决策计数兵法_三十三问经.qmd,1313,MASE,1,6,True,"""体：MASE 大于等于 1 者，该模型不得上线"
a168商业决策计数兵法_三十三问经.qmd,1534,Sortino,4.519,1,True,"""「现有资料：Annualized Sharpe = −4.519、Sortino = −0.265、Maximum Drawdown = 97.89%」"","
a168商业决策计数兵法_三十三问经.qmd,1534,Sortino,0.265,4,True,"""「现有资料：Annualized Sharpe = −4.519、Sortino = −0.265、Maximum Drawdown = 97.89%」"","
a168商业决策计数兵法_三十三问经.qmd,1535,Spearman,0.112,6,True,"""「现有项目资料记录个体毛利率两期自相关约 0.112、当前模型 Spearman 约 0.20、秩持续性 Jaccard 约 0.02」"","
a168商业决策计数兵法_三十三问经.qmd,1535,Spearman,0.2,3,True,"""「现有项目资料记录个体毛利率两期自相关约 0.112、当前模型 Spearman 约 0.20、秩持续性 Jaccard 约 0.02」"","
a168商业决策计数兵法_三十三问经.qmd,1535,自相关,0.112,2,True,"""「现有项目资料记录个体毛利率两期自相关约 0.112、当前模型 Spearman 约 0.20、秩持续性 Jaccard 约 0.02」"","
a168商业决策计数兵法_三十三问经.qmd,1535,Jaccard,0.2,6,True,"""「现有项目资料记录个体毛利率两期自相关约 0.112、当前模型 Spearman 约 0.20、秩持续性 Jaccard 约 0.02」"","
a168商业决策计数兵法_三十三问经.qmd,1535,Jaccard,0.02,3,True,"""「现有项目资料记录个体毛利率两期自相关约 0.112、当前模型 Spearman 约 0.20、秩持续性 Jaccard 约 0.02」"","
a168商业决策计数兵法_三十三问经.qmd,1540,索提诺,0.43,7,False,本项目实测为：会员级索提诺率 P50 −0.43／P90 0.082／P95 0.356／P99 1.41
a168商业决策计数兵法_三十三问经.qmd,1540,索提诺,6.194,1,False,策略级 夏普率 6.194、索提诺率 <b>NA（不可算）</b>、最大回撤 <b>0</b>、胜期占比 100.0%
a168商业决策计数兵法_三十三问经.qmd,1541,Jaccard,0.112,3,True,"""0.112 与 Jaccard 0.02 <b>属实</b>（主方案「全窗实测常数」栏在册）"
a168商业决策计数兵法_三十三问经.qmd,1541,Jaccard,0.02,1,True,"""0.112 与 Jaccard 0.02 <b>属实</b>（主方案「全窗实测常数」栏在册）"
a168商业决策计数兵法_三十三问经.qmd,1541,Spearman,0.2,1,True,惟 <b>Spearman 0.20 已被主方案于 2026-08-11 立撤销声明</b>，原文明载「不得再以任何形式出现」——其误在于 0.112 是目标自身滞后自相关、0.20 是模型预测值与目标之秩关联，<b>非同一对象、非同一尺度</b>，相除得 1.875 不具统计含
a168商业决策计数兵法_三十三问经.qmd,1541,自相关,0.112,8,True,惟 <b>Spearman 0.20 已被主方案于 2026-08-11 立撤销声明</b>，原文明载「不得再以任何形式出现」——其误在于 0.112 是目标自身滞后自相关、0.20 是模型预测值与目标之秩关联，<b>非同一对象、非同一尺度</b>，相除得 1.875 不具统计含
a168商业决策计数兵法_三十三问经.qmd,1541,自相关,0.2,1,True,惟 <b>Spearman 0.20 已被主方案于 2026-08-11 立撤销声明</b>，原文明载「不得再以任何形式出现」——其误在于 0.112 是目标自身滞后自相关、0.20 是模型预测值与目标之秩关联，<b>非同一对象、非同一尺度</b>，相除得 1.875 不具统计含
a168商业决策计数兵法_三十三问经.qmd,1553,Spearman,0.02,7,True,"""采信 0.112 与 Jaccard 0.02，<b>剔除 Spearman 0.20</b>"
a168商业决策计数兵法_三十三问经.qmd,1553,Spearman,0.2,1,True,"""采信 0.112 与 Jaccard 0.02，<b>剔除 Spearman 0.20</b>"
a168商业决策计数兵法_三十三问经.qmd,1553,Jaccard,0.112,3,True,"""采信 0.112 与 Jaccard 0.02，<b>剔除 Spearman 0.20</b>"
a168商业决策计数兵法_三十三问经.qmd,1553,Jaccard,0.02,1,True,"""采信 0.112 与 Jaccard 0.02，<b>剔除 Spearman 0.20</b>"
a168商业决策计数兵法_三十三问经.qmd,1568,索提诺,4.519,1,False,"""<b>X-02</b>：给了三个「现有资料」的数字（夏普 −4.519、索提诺 −0.265、回撤 97.89%）——"","
