module_id,csv_name,m_code,m_name,business_domain,entity,grain,source_tables,output_columns,fact_or_derived,has_net_margin,net_margin_trust,risk_usage,join_type,join_key,upstream_dependency,status
001,A_anchor.csv,M06,代理线,C 平台经营,IP,g.ip,alert_ip_setting|bet02,68,AGG/DERIVED,TRUE,OK,SCREENING,LEFT,ip,bet02 canonical → q(本件粒度) + x_agg(ip),HF1 可执行
002,B01_bt_panel.csv,M15,活跃周期,B 会员画像,会员,member_id × bet_date,agent|bet02,77,AGG/DERIVED,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,member_id,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
003,B01_bt_panel_delta.csv,M15,活跃周期,B 会员画像,会员,member_id × bet_date,agent|bet02,77,AGG/DERIVED,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,member_id,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
004,B4_2b_funnel_and_mu0.csv,M14,投注形态,C 平台经营,全窗/元数据,n_raw × n_g1 × n_g2,agent|bet02,89,AGG/DERIVED,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
005,B4_5b_tip_nature.csv,M14,投注形态,C 平台经营,IP,TRIM(bet09),bet02,79,AGG/DERIVED,TRUE,OK,SCREENING,LEFT,bet09_value,bet02 canonical → q(本件粒度) + x_agg(product),HF1 可执行
006,B_online_base.csv,Z00,基建/元数据,F 元数据字典,桌台,table_id × sec_elapsed,agent|bet02|game_info,70,METADATA/AUDIT,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,table_id,bet02 canonical → q(本件粒度) + x_agg(table),HF1 可执行
007,C01_ip_chain.csv,M04,IP,A 风险识别,IP,bet_ip,agent|bet02,71,AGG/DERIVED,TRUE,OK,SCREENING,LEFT,bet_ip,bet02 canonical → q(本件粒度) + x_agg(ip),HF1 可执行
008,C06_hedge_pairs.csv,M02,对冲对打,A 风险识别,IP,bet_ip × m_a × m_b,agent|bet02,70,AGG/DERIVED,TRUE,WRONG_GRAIN·上卷广播,SCREENING,LEFT,bet_ip,bet02 canonical → q(本件粒度) + x_agg(ip),HF1 可执行
009,C06d_hedge_pairs_dated.csv,M02,对冲对打,A 风险识别,会员,a.bet_ip × a.member_id × b.member_id,agent|bet02,72,AGG/DERIVED,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,bet_ip,bet02 canonical → q(本件粒度) + x_agg(ip),HF1 可执行
010,C08_subnet_all.csv,M04,IP,A 风险识别,网段,1,agent|bet02,71,AGG/DERIVED,TRUE,INVALID·笛卡尔广播,SCREENING,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
011,C08_subnet_sparse.csv,M04,IP,A 风险识别,网段,1,agent|bet02,71,AGG/DERIVED,TRUE,INVALID·笛卡尔广播,SCREENING,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
012,D03S_daily_roi_diff.csv,M15,活跃周期,B 会员画像,日期,bet_date,agent|bet02|game_info,70,AGG/DERIVED,TRUE,OK,REFERENCE,LEFT,bet_date,bet02 canonical → q(本件粒度) + x_agg(date),HF1 可执行
013,DICT_01a_bet41_tri.csv,M05,退水套利,A 风险识别,全窗/元数据,scope × n_rows × sum_stake,bet02,77,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
014,DICT_01b_roundkey_card.csv,Z00,基建/元数据,F 元数据字典,全窗/元数据,scope × n_rows × nd_bet03,bet02,77,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
015,DICT_01c_dimension.csv,Z00,基建/元数据,F 元数据字典,全窗/元数据,scope × n_rows × avg_validbet,bet02,75,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
016,DICT_01d_bet_latency.csv,Z00,基建/元数据,F 元数据字典,全窗/元数据,TRIM(bet39),bet02,77,METADATA/AUDIT,TRUE,OK,REFERENCE,LEFT,table_id,bet02 canonical → q(本件粒度) + x_agg(table),HF1 可执行
017,DX04_bet09_profile.csv,M14,投注形态,C 平台经营,产品,bet_side,bet02,72,AGG/DERIVED,TRUE,OK,SUPPORT,LEFT,bet_side,bet02 canonical → q(本件粒度) + x_agg(product),HF1 可执行
018,DX05_product_panorama.csv,M14,投注形态,C 平台经营,产品,product_code,agent|bet02,77,AGG/DERIVED,TRUE,OK,SUPPORT,LEFT,product_code,bet02 canonical → q(本件粒度) + x_agg(product),HF1 可执行
019,E02_segment_econ.csv,M05,退水套利,A 风险识别,全窗/元数据,m.rebate_rate_bkt × m.vb_q,bet02|dailyreport_member,72,AGG/DERIVED,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
020,EV01_disposal_events.csv,M09,处置限额,D 处置与因果,日期,event_id × event_time × event_date,bet02|change_log,76,AGG/DERIVED,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,event_date,bet02 canonical → q(本件粒度) + x_agg(date),HF1 可执行
021,EV02_member_disposal.csv,M09,处置限额,D 处置与因果,会员,event_id × event_date × event_time,bet02|log_mem_change,0,AGG/DERIVED,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,event_date,bet02 canonical → q(本件粒度) + x_agg(date),HF1 可执行
022,I_ip_agg.csv,M04,IP,A 风险识别,IP,bet_ip,agent|bet02,77,AGG/DERIVED,TRUE,OK,SCREENING,LEFT,bet_ip,bet02 canonical → q(本件粒度) + x_agg(ip),HF1 可执行
023,I_ip_player.csv,M04,IP,A 风险识别,会员,b.bet_ip × b.member_id,agent|bet02,77,AGG/DERIVED,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,member_id,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
024,K01_risk_feature_matrix.csv,M11,异常告警,A 风险识别,会员,member_id × is_seed × n_rounds,agent|bet02,78,RANKING/DECISION,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,member_id,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
025,K01b_seed_goldip.csv,M04,IP,A 风险识别,会员,member_id × seed_src,alert_ip_setting|bet02,65,AGG/DERIVED,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,member_id,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
026,K01b_seed_manual.csv,M11,异常告警,A 风险识别,会员,member_id × seed_src,bet02|dailyreport_member,65,AGG/DERIVED,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,member_id,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
027,K01c_seed_dated.csv,M04,IP,A 风险识别,IP,seed_id × seed_ip × creator,alert_ip_setting|bet02,69,AGG/DERIVED,TRUE,WRONG_GRAIN·上卷广播,SCREENING,LEFT,seed_ip,bet02 canonical → q(本件粒度) + x_agg(ip),HF1 可执行
028,L_label_dist.csv,M11,异常告警,A 风险识别,全窗/元数据,risk × orders,bet02|dailyreport_member,69,AGG/DERIVED,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
029,P01A_crosstab.csv,M05,退水套利,A 风险识别,全窗/元数据,n_rows × bet16_null × bet16_zero,bet02,76,AGG/DERIVED,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
030,P01B_diff_ratio.csv,M05,退水套利,A 风险识别,全窗/元数据,n × diff_min × diff_p50,bet02,74,AGG/DERIVED,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
031,P01C_split_by_dim.csv,M05,退水套利,A 风险识别,产品,"DATE_TRUNC('month', dt) × TRIM(bet09) × TRIM(commission) × TRIM(bet10)",bet02,77,AGG/DERIVED,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
032,P01D_vs_validbet.csv,M05,退水套利,A 风险识别,全窗/元数据,n × comparable_n × plausible_n,bet02,72,AGG/DERIVED,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
033,P01E_identity_test.csv,M05,退水套利,A 风险识别,风控专员,hypothesis × n × exact_match_n,bet02,71,AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
034,P02A_lmc_samples.csv,M09,处置限额,D 处置与因果,全窗/元数据,类别 × 取样端 × 異動時間,bet02|log_mem_change,72,AGG/DERIVED,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
035,P02B_changestatus_patterns.csv,M09,处置限额,D 处置与因果,全窗/元数据,"SUBSTRING(TRIM(lmc05), 1, 40)",bet02|log_mem_change,69,AGG/DERIVED,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
036,P02C_key_check.csv,M09,处置限额,D 处置与因果,全窗/元数据,l.lmc03,bet02|log_mem_change,71,AGG/DERIVED,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
037,P02D_events_in_window.csv,M09,处置限额,D 处置与因果,全窗/元数据,lmc04 × lmc03,bet02|log_mem_change,67,AGG/DERIVED,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
038,P0C02_标签口径.csv,Z00,基建/元数据,F 元数据字典,全窗/元数据,产品口径 × 正例观测数_会员日 × 正例会员数_去重,bet02|dailyreport_member,69,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
039,P0C03_标记次数分布.csv,Z00,基建/元数据,F 元数据字典,全窗/元数据,标记次数,bet02|dailyreport_member,66,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
040,P0C04_同日泄漏检验.csv,M05,退水套利,A 风险识别,全窗/元数据,d0.mem × d0.mark_day,bet02|dailyreport_member,70,AGG/DERIVED,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
041,P0C05_标记时点定位.csv,Z00,基建/元数据,F 元数据字典,全窗/元数据,mem × mark_day × 首投日,bet02|dailyreport_member,71,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
042,P0C06_LabelB骨架.csv,M02,对冲对打,A 风险识别,全窗/元数据,a.mem × a.anchor_day,bet02|dailyreport_member,71,AGG/DERIVED,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
043,P0C09_安慰剂检验.csv,M05,退水套利,A 风险识别,全窗/元数据,a.mem × a.d × a.注单数 × a.洗码量,bet02|dailyreport_member,70,AGG/DERIVED,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
044,P11_阿泽尾段投注总帐.csv,M03,尾段投注,A 风险识别,全窗/元数据,scope_def × n_orders × n_orders_pct,agent|bet02,84,AGG/DERIVED,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
045,P11_阿泽尾段投注模型会员名单.csv,M03,尾段投注,A 风险识别,会员,player_id × total_orders × late_orders,agent|bet02,72,AGG/DERIVED,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,player_id,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
046,P11_雷欧尾段投注总帐.csv,M03,尾段投注,A 风险识别,全窗/元数据,scope_def × n_orders × n_orders_pct,agent|bet02,84,AGG/DERIVED,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
047,P12a_platform_daily.csv,Z00,基建/元数据,F 元数据字典,日期,dt,agent|bet02,72,METADATA/AUDIT,TRUE,OK,REFERENCE,LEFT,dt,bet02 canonical → q(本件粒度) + x_agg(date),HF1 可执行
048,P12b_member_events.csv,M09,处置限额,D 处置与因果,会员,uid × first_dt × last_dt,agent|bet02|log_mem_change,71,AGG/DERIVED,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,uid,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
049,P12c_member_daily_pnl.csv,M15,活跃周期,B 会员画像,会员,g.uid × g.dt,agent|bet02,69,AGG/DERIVED,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,uid,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
050,P13_personal_entry.csv,M03,尾段投注,A 风险识别,会员,uid,agent|bet02,70,AGG/DERIVED,TRUE,OK,PRIMARY,LEFT,uid,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
051,PH0_8r1_rg_case.csv,M10,责任博彩,D 处置与因果,日期,dt_day × category × target_id,bet02|log_mem_change,71,AGG/DERIVED,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,target_id,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
052,PH0_8r2_rg_crosstable.csv,M10,责任博彩,D 处置与因果,桌台,src × n_rows × n_rg_true,alarmMessage|alertMessage|alert_ip_setting|bet02|member|wallet_dtl,68,AGG/DERIVED,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
053,PI01_treatment_delta_member.csv,M09,处置限额,D 处置与因果,会员,member_id × treat_time × treat_field,agent|bet02|log_mem_change,84,AGG/DERIVED,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,member_id,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
054,PI02_treatment_delta_platform.csv,M09,处置限额,D 处置与因果,全窗/元数据,grp × phase,agent|bet02|log_mem_change,76,AGG/DERIVED,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
055,PI03_reinvest_loop.csv,M13,复投循环,A 风险识别,全窗/元数据,outcome,agent|bet02,76,AGG/DERIVED,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
056,PI04_member_5d_profile.csv,M15,活跃周期,B 会员画像,会员,mid,agent|bet02,83,AGG/DERIVED,TRUE,OK,PRIMARY,LEFT,member_id,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
057,P_player_month.csv,M15,活跃周期,B 会员画像,会员,"member_id × DATE_TRUNC('month', bet_date)",agent|bet02,72,AGG/DERIVED,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,member_id,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
058,QSB_01a_category_census.csv,M14,投注形态,C 平台经营,全窗/元数据,"COALESCE(NULLIF(TRIM(category), ''), '(空值或空串)')",bet02,85,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
059,QSB_01c_cat1_contamination.csv,M14,投注形态,C 平台经营,产品,TRIM(bet09),bet02,73,METADATA/AUDIT,TRUE,OK,SUPPORT,LEFT,bet09_value,bet02 canonical → q(本件粒度) + x_agg(product),HF1 可执行
060,QSB_02a_lowcard_fields.csv,M14,投注形态,C 平台经营,全窗/元数据,scope × n_rows × nd_bet04,bet02,81,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
061,QSB_02b2_lowcard_five_gates.csv,M14,投注形态,C 平台经营,全窗/元数据,"COALESCE(NULLIF(TRIM(bet31), ''), '(空)')",bet02,82,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
062,QSB_02b_state_cross.csv,M14,投注形态,C 平台经营,全窗/元数据,"COALESCE(NULLIF(TRIM(bet40), ''), '(空)')",bet02,72,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
063,QSB_02c_push_by_family.csv,M14,投注形态,C 平台经营,会员,"CASE WHEN TRIM(bet09) IN ('Banker', 'Player') THEN 'F1_庄闲主注' WHEN TRIM(bet09) = 'Tie' THEN 'F2_和局' WHEN TRIM(bet09) IN ('BPair', 'PPair', 'AnyPair', 'PerfectPair') THEN 'F3_对子族' WHEN TRIM(bet09) IN ('BankerNatural', 'PlayerNatural') THEN 'F4_例牌族' WHEN TRIM(bet09) IN ('BankerDragonBonus', 'PlayerDragonBonus') THEN 'F5_龙宝族' WHEN TRIM(bet09) IN ('Super6', 'Lucky7', 'SuperLucky7') THEN 'F6_幸运族' WHEN TRIM(bet09) IN ('Big', 'Small') THEN 'F7_大小' ELSE 'F8_其他与新上线' END",bet02,73,METADATA/AUDIT,TRUE,INVALID·笛卡尔广播,NOT_FOR_DECISION,CROSS,(CROSS),bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行·但行数=|q|×会员数
064,R01_late_shoe.csv,M03,尾段投注,A 风险识别,会员,member_id,agent|bet02,78,AGG/DERIVED,TRUE,OK,PRIMARY,LEFT,uid,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
065,R01_late_shoe_w2.csv,M03,尾段投注,A 风险识别,会员,member_id,agent|bet02,78,AGG/DERIVED,TRUE,OK,PRIMARY,LEFT,uid,bet02 canonical → q(本件粒度) + x_agg(member),HF1 可执行
066,R01anm_shoe_anomaly.csv,M03,尾段投注,A 风险识别,桌台,dt × table_id × shoe_id,agent|bet02,74,AGG/DERIVED,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,table_id,bet02 canonical → q(本件粒度) + x_agg(table),HF1 可执行
067,R01chk_shoe_len_by_table.csv,M03,尾段投注,A 风险识别,桌台,table_id × table_flag × n_shoes,agent|bet02,91,AUDIT,TRUE,WRONG_GRAIN·上卷广播,NOT_FOR_DECISION,LEFT,table_id,bet02 canonical → q(本件粒度) + x_agg(table),HF1 可执行
