源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,"",_1,_2,_3,_4,_5,来源库,来源表,ODS表名,同步时间
89f0fd5c927d466d6ec9a21b9ac34ffa,2018-07-31,325,5236E9B1I1D20182A1685,2018-07-31T11:02:53Z,103.69.68.12,1,,a168,emp_login,ods_a168_emp_login,2026-05-19T18:41:02Z
45c48cce2e2d7fbdea1afc51c7c6ad26,2016-09-01,9,90E861A7I3F9D7I156787,2016-09-01T16:08:49Z,59.126.117.228,0,,a168,emp_login,ods_a168_emp_login,2026-05-19T18:41:02Z
f2fc990265c712c49d51a18a32b39f0c,2018-07-30,324,4239F7A8C20169A168E63,2018-07-30T10:01:13Z,103.69.68.12,1,,a168,emp_login,ods_a168_emp_login,2026-05-19T18:41:02Z
c4ca4238a0b923820dcc509a6f75849b,2016-12-21,1,16E8617B6G9E8C84235A6,2016-12-21T13:48:17Z,124.109.17.35,1,,a168,emp_login,ods_a168_emp_login,2026-05-19T18:41:02Z
432aca3a1e345e339f35a30c8f65edce,2019-03-18,318,81369I1B9F30733A168E4,2019-03-18T06:11:28Z,103.30.197.212,1,,a168,emp_login,ods_a168_emp_login,2026-05-19T18:41:02Z
eccbc87e4b5ce2fe28308fd9f2a7baf3,2018-11-22,3,30E8617I9G3E2H70431A6,2018-11-22T14:45:05Z,211.75.195.55,1,,a168,emp_login,ods_a168_emp_login,2026-05-19T18:41:02Z
5ef059938ba799aaa845e1c2e8a762bd,2016-07-18,118,8110E89C1C9F30143A166,2016-07-18T18:18:47Z,59.126.117.228,1,,a168,emp_login,ods_a168_emp_login,2026-05-19T18:41:02Z
a666587afda6e89aec274a3657558a27,2018-08-01,326,6236E9I3B9H50533A1685,2018-08-01T17:54:41Z,103.69.68.12,1,,a168,emp_login,ods_a168_emp_login,2026-05-19T18:41:02Z
1679091c5a880faf6fb5e6087eb1b2dc,2018-08-11,6,66E867H1F2F5D67408A15,2018-08-11T09:21:36Z,43.230.62.154,1,,a168,emp_login,ods_a168_emp_login,2026-05-19T18:41:02Z
c81e728d9d4c2f636f067f89cc14862c,2016-07-27,2,26E8617C7A8C1A34682A6,2016-07-27T11:20:42Z,59.126.117.228,1,,a168,emp_login,ods_a168_emp_login,2026-05-19T18:41:02Z
bc6dc48b743dc5d013b1abaebd2faed2,2018-08-04,323,32369D9C5A80527A168E4,2018-08-04T21:46:00Z,103.69.68.12,1,,a168,emp_login,ods_a168_emp_login,2026-05-19T18:41:02Z
5b8add2a5d98b1a652ea7fd72d942dac,2019-03-31,317,71369D8D3F40388A168E4,2019-03-31T19:05:45Z,43.230.62.157,1,,a168,emp_login,ods_a168_emp_login,2026-05-19T18:41:02Z
6f4922f45568161a8cdf4ad2299f6d23,2016-06-17,18,810E8B1I5H6F81418A1684,2016-06-17T16:54:26Z,59.126.117.228,1,,a168,emp_login,ods_a168_emp_login,2026-05-19T18:41:02Z
