n,module,old,new,src,grain,window,metric,note
1,A_anchor.csv,stake,xagg__G01__base__stake,xagg,G01,base,stake,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,valid_bet,xagg__G01__base__valid_bet,xagg,G01,base,valid_bet,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,profit,xagg__G01__base__profit,xagg,G01,base,profit,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,n_bets,xagg__G01__base__n_bets,xagg,G01,base,n_bets,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,n_rounds,xagg__G01__base__n_rounds,xagg,G01,base,n_rounds,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,roi,xagg__G01__base__roi,xagg,G01,base,roi,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,roi_recent,xagg__G01__recent__roi,xagg,G01,recent,roi,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,roi_non_recent,xagg__G01__non_recent__roi,xagg,G01,non_recent,roi,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,roi_ex_rebate,xagg__G01__base__roi_ex_rebate,xagg,G01,base,roi_ex_rebate,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,roi_numerator,xagg__G01__base__roi_numerator,xagg,G01,base,roi_numerator,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,roi_denominator,xagg__G01__base__roi_denominator,xagg,G01,base,roi_denominator,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,roi_denominator_status,xagg__G01__base__roi_denominator_status,xagg,G01,base,roi_denominator_status,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,rebate_cost,xagg__G01__base__rebate_cost,xagg,G01,base,rebate_cost,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,agent_cost,xagg__G01__base__agent_cost,xagg,G01,base,agent_cost,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,net_margin,xagg__G01__base__net_margin,xagg,G01,base,net_margin,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,net_margin_rate,xagg__G01__base__net_margin_rate,xagg,G01,base,net_margin_rate,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,avg_stake_per_bet,xagg__G01__base__avg_stake_per_bet,xagg,G01,base,avg_stake_per_bet,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,avg_valid_bet_per_round,xagg__G01__base__avg_valid_bet_per_round,xagg,G01,base,avg_valid_bet_per_round,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,avg_profit_per_round,xagg__G01__base__avg_profit_per_round,xagg,G01,base,avg_profit_per_round,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,avg_profit_per_day,xagg__G01__base__avg_profit_per_day,xagg,G01,base,avg_profit_per_day,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,avg_profit_per_shoe,xagg__G01__base__avg_profit_per_shoe,xagg,G01,base,avg_profit_per_shoe,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,avg_stake_per_active_day,xagg__G01__base__avg_stake_per_active_day,xagg,G01,base,avg_stake_per_active_day,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,avg_rounds_per_active_day,xagg__G01__base__avg_rounds_per_active_day,xagg,G01,base,avg_rounds_per_active_day,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,avg_stake_recent,xagg__G01__recent__avg_stake,xagg,G01,recent,avg_stake,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,avg_stake_non_recent,xagg__G01__non_recent__avg_stake,xagg,G01,non_recent,avg_stake,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,p25_stake,xagg__G01__base__p25_stake,xagg,G01,base,p25_stake,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,p50_stake,xagg__G01__base__p50_stake,xagg,G01,base,p50_stake,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,p75_stake,xagg__G01__base__p75_stake,xagg,G01,base,p75_stake,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,p90_stake,xagg__G01__base__p90_stake,xagg,G01,base,p90_stake,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,p95_stake,xagg__G01__base__p95_stake,xagg,G01,base,p95_stake,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,p99_stake,xagg__G01__base__p99_stake,xagg,G01,base,p99_stake,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,p50_valid_bet,xagg__G01__base__p50_valid_bet,xagg,G01,base,p50_valid_bet,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,p50_profit,xagg__G01__base__p50_profit,xagg,G01,base,p50_profit,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,p95_over_p50,xagg__G01__base__p95_over_p50,xagg,G01,base,p95_over_p50,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,p99_over_p50,xagg__G01__base__p99_over_p50,xagg,G01,base,p99_over_p50,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,avg_over_p50,xagg__G01__base__avg_over_p50,xagg,G01,base,avg_over_p50,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,common_table_count,xagg__G01__base__common_table_count,xagg,G01,base,common_table_count,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,common_dealer_count,xagg__G01__base__common_dealer_count,xagg,G01,base,common_dealer_count,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,common_ip_count,xagg__G01__base__common_ip_count,xagg,G01,base,common_ip_count,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,common_product_count,xagg__G01__base__common_product_count,xagg,G01,base,common_product_count,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,share_recent,xagg__G01__recent__share,xagg,G01,recent,share,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,hold_rate,xagg__G01__base__hold_rate,xagg,G01,base,hold_rate,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,hold_rate_recent,xagg__G01__recent__hold_rate,xagg,G01,recent,hold_rate,P0-1 需按本件 grain 重聚合后方可用此名
1,A_anchor.csv,rebate_rate_actual,xagg__G01__base__rebate_rate_actual,xagg,G01,base,rebate_rate_actual,P0-1 需按本件 grain 重聚合后方可用此名
