__source_pk,dt,id,action,agent_id,mid,code,round_id,transId,wallet_id,iom_id,requestDate,money,balance,type,status,isFinish,remark,source_db,source_table,ods_table_name,sync_time
10000,2021-09-10,10000,settle,0,31769756,5009,671,613abbc590da3738c651a01c,0,1255246775,2021-09-10 09:58:29,1.2000,300.4900,1,1,Y,,a168,partner_transation,ods_a168_partner_transation,2026-05-21 20:19:05
10014,2021-09-10,10014,settle,0,31769756,5009,679,613abbd790da3738c651a032,0,1255247190,2021-09-10 09:58:47,2.4000,294.9700,1,1,Y,,a168,partner_transation,ods_a168_partner_transation,2026-05-21 20:19:25
10023,2021-09-10,10023,bet,0,31769756,5009,687,613abbe390da3738c651a043,0,1255247386,2021-09-10 09:58:59,-2.6400,280.6900,2,1,Y,,a168,partner_transation,ods_a168_partner_transation,2026-05-21 20:19:25
10028,2021-09-10,10028,bet,0,31769756,5009,692,613abbea90da3738c651a04d,0,1255247481,2021-09-10 09:59:06,-2.6400,267.4900,2,1,Y,,a168,partner_transation,ods_a168_partner_transation,2026-05-21 20:19:25
10037,2021-09-10,10037,bet,0,31769756,5009,699,613abbf790da3738c651a05d,0,1255247730,2021-09-10 09:59:19,-2.6400,250.0600,2,1,Y,,a168,partner_transation,ods_a168_partner_transation,2026-05-21 20:19:25
10042,2021-09-10,10042,settle,0,31769756,5009,702,613abc1490da3738c651a065,0,1255248256,2021-09-10 09:59:48,0.3000,240.7000,1,1,Y,,a168,partner_transation,ods_a168_partner_transation,2026-05-21 20:19:25
10049,2021-09-10,10049,settle,0,31769756,5009,707,613abc2090da3738c651a071,0,1255248489,2021-09-10 10:00:00,1.2000,275.8000,1,1,Y,,a168,partner_transation,ods_a168_partner_transation,2026-05-21 20:19:25
10056,2021-09-10,10056,settle,0,31769756,5009,712,613abc2890da3738c651a07d,0,1255248661,2021-09-10 10:00:08,3.0000,265.3000,1,1,Y,,a168,partner_transation,ods_a168_partner_transation,2026-05-21 20:19:25
10061,2021-09-10,10061,bet,0,31769756,5009,716,613abc2f90da3738c651a086,0,1255248802,2021-09-10 10:00:15,-2.6400,279.5800,2,1,Y,,a168,partner_transation,ods_a168_partner_transation,2026-05-21 20:19:25
10075,2021-09-10,10075,settle,0,31769756,5009,726,613abc4290da3738c651a09e,0,1255249222,2021-09-10 10:00:34,1.2000,259.2400,1,1,Y,,a168,partner_transation,ods_a168_partner_transation,2026-05-21 20:19:25
10080,2021-09-10,10080,settle,0,31769756,5009,730,613abc4790da3738c651a0a7,0,1255249389,2021-09-10 10:00:39,7.5000,249.8800,1,1,Y,,a168,partner_transation,ods_a168_partner_transation,2026-05-21 20:19:25
10094,2021-09-10,10094,bet,0,31769756,5009,742,613abc5a90da3738c651a0c1,0,1255249691,2021-09-10 10:00:58,-2.6400,237.0400,2,1,Y,,a168,partner_transation,ods_a168_partner_transation,2026-05-21 20:19:25
10105,2021-09-10,10105,settle,0,31769756,5009,748,613abc6690da3738c651a0d2,0,1255249934,2021-09-10 10:01:10,1.2000,238.0600,1,1,Y,,a168,partner_transation,ods_a168_partner_transation,2026-05-21 20:19:25
10111,2021-09-10,10111,bet,0,31769756,5009,754,613abc7290da3738c651a0de,0,1255250179,2021-09-10 10:01:22,-2.6400,226.0600,2,1,Y,,a168,partner_transation,ods_a168_partner_transation,2026-05-21 20:19:25
10126,2021-09-10,10126,settle,0,31769756,5009,763,613abc8490da3738c651a0f6,0,1255250565,2021-09-10 10:01:40,1.5000,230.5600,1,1,Y,,a168,partner_transation,ods_a168_partner_transation,2026-05-21 20:19:25
10132,2021-09-10,10132,bet,0,31769756,5009,769,613abc8e90da3738c651a102,0,1255250761,2021-09-10 10:01:50,-2.6400,218.8600,2,1,Y,,a168,partner_transation,ods_a168_partner_transation,2026-05-21 20:19:25
10139,2021-09-10,10139,bet,0,31769756,5009,774,613abc9790da3738c651a10e,0,1255250923,2021-09-10 10:01:59,-2.6400,211.5100,2,1,Y,,a168,partner_transation,ods_a168_partner_transation,2026-05-21 20:19:25
10147,2021-09-10,10147,bet,0,31769756,5009,780,613abca190da3738c651a11c,0,1255251158,2021-09-10 10:02:09,-2.6400,198.6700,2,1,Y,,a168,partner_transation,ods_a168_partner_transation,2026-05-21 20:19:25
10153,2021-09-10,10153,bet,0,31769756,5009,785,613abca990da3738c651a127,0,1255251307,2021-09-10 10:02:17,-2.6400,186.6700,2,1,Y,,a168,partner_transation,ods_a168_partner_transation,2026-05-21 20:19:25
