seq,deliverable,grain,column_name,column_role,statistical_class,lineage_stability,determinism,regression_tolerance,introduced_in,admissible_as_typology_input,note,registry_version
1,075 S01_player_score.csv,member_id,member_id,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
2,075 S01_player_score.csv,member_id,流水贡献,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
3,075 S01_player_score.csv,member_id,游戏输赢贡献,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
4,075 S01_player_score.csv,member_id,活跃稳定,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
5,075 S01_player_score.csv,member_id,退水支出,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
6,075 S01_player_score.csv,member_id,n_ip,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
7,075 S01_player_score.csv,member_id,n_chain,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
8,075 S01_player_score.csv,member_id,lv1_id,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
9,075 S01_player_score.csv,member_id,lv2_id,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
10,075 S01_player_score.csv,member_id,lv3_id,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
11,075 S01_player_score.csv,member_id,lv4_id,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
12,075 S01_player_score.csv,member_id,lv5_id,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
13,075 S01_player_score.csv,member_id,chain_key,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
14,075 S01_player_score.csv,member_id,n_chain_key,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
15,075 S01_player_score.csv,member_id,f_upline_changed,METRIC,A1a,FROZEN,DETERMINISTIC,0（严格逐位）,HF9e,YES,精确可复现,v2.0
