术语,类别,别名,定义,用途,口径_分子,口径_分母,口径_粒度,口径_时间窗,口径_数据源,指标与阈值,越界后果_高于,越界后果_低于,替代与升级,计算状态,实施状态,口径状态,同名异义,冲突登记,出现档,权威取自,schema
A/B 检验,实验设计,,把对象随机分成受影响组与对照组，比较结果差异。,产品参数类措施（限红、封盘、退水档位）的验证方式。**产品侧可以 A/B，账户处罚不可以**——这是本方案偏好产品侧措施的原因之一。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
ADT,玩家价值,,平均每日理论赢额：theo 除以受评天数。,业界标准的价值分档依据，但已知在受评日数少时极不稳定，故本方案改用分位归一而非绝对值,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
AML,未分类,,Anti-Money Laundering，反洗钱合规体系。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,D06基准；D06高精；R01前；R01后,R01后,MIN
AUC,模型评估,,随机取一正一负，模型给正样本更高分的概率。0.5 为瞎猜。,竞技场排序用。**极不平衡数据下 AUC 天然偏高**，所以本报告一律并列 PR-AUC，且不用 AUC 对外宣称检测精度。,,,,,,,,,,DEFINED,未标注,（待补）,TRUE,同名异义：2 个版本，见 versions,R01前；R01后；主·商业方案,主·商业方案,MIN
AX-A5,项目代号,,风控专员在 alert_ip_setting 备注栏写下的判定原话编号。,唯一的人类专家先验，量化规则应向它对齐而非取代它。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
AnyPair,投注产品·边注,,押任意一方成对，庄家优势约 6.2%。,"参与 1,574 人，量级与 PerfectPair 相当。",,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
Autoencoder,模型方法,,让网络先压缩再还原，还原误差大的即为异常。,T4 的另一路无监督异常度。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
BCa 校正,统计推断,,自助法的偏差与偏度校正版，区间比裸百分位法更准。,尾段 ROI 差的五重检验之一。缺 boot 包时自动降级为百分位法并标注。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
BPair / PPair,投注产品·边注,,押庄对 / 闲对（首两张同点数），通常 1:11，庄家优势约 10.4%。,高波动边注。打水者几乎不碰——因为它无法与主线构成对冲，反而放大方差。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
Banker,投注产品·主线,,押庄。庄赢派彩 1:0.95（抽 5% 佣金），理论庄家优势约 1.06%。,对押判别的正方向。两套基准务必分清：**含和局的无条件胜率 45.86%**（用于算庄家优势），**剔和后的决胜局胜率 50.68%**（庄闲为 Draw No Bet，和局退还本金不入分母）——后者方是 R-03 的 Z-score 基准。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
Bias,预测评估,,系统性偏向：（Σ预测−Σ实际）÷ |Σ实际|。正为高估、负为低估。,定赏罚幅度的**方向依据**。RelMAE 与 WAPE 皆取绝对值，会把系统性高估与低估一并抹平；某组若长期高估盈利，赏罚幅度即长期给多——只有此尺看得出来,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
Big,投注产品·边注,,押本局总发牌数为「大」（5~6 张），理论庄家优势约 4.3%。,**正常胜率约 62.38%**，是 23 种投注产品里最高的之一。统一 70% 门槛对它而言只差 7.6 个百分点，稍有波动就误伤——与 Tie 恰成两端，共同证明胜率门槛必须按按投注产品分设。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
C-02 / C-06,项目代号,,C-02 同 IP 玩家与汇总；C-06 同 IP 对打对与对冲覆盖。,T1 同 IP 盈利与 T3 对押率的来源。C-06 曾因投注产品判别不匹配返回零行，已校准。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
CAP,能力值代码,,资金能力：投注规模分位、单注与桌限之比、净存款。,八维能力值模型的第一维；用于分辨「玩得起」与「玩得大」，是限红与礼遇档位的依据,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
CAS（CVaR 调整索提诺）,风险调整收益,,在索提诺比率的基础上，用条件风险价值替换下行标准差作为分母。,T2 持续正向优势候选的复合判据。相较索提诺，它对「偶尔爆赚一笔」更不敏感——量的是持续稳定的优势，不是一次好运。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
CAS（CVaR-Adjusted Sortino）,风险调整收益,,把索提诺的分母由下行标准差换成 CVaR，对肥尾更稳健。,T2 持续正向优势候选判别的备选口径。本方案**首次引入**，尚无历史基线，上线首期须与索提诺率并列观察。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
CGNAT（运营商共享出口）,网络,,多用户共用同一公网 IP 的运营商网关，东南亚手机上网的常态。,同 IP 判据最大的噪音源：前千个 /24 网段里 967 段是共享出口。不做排除，T1 名单九成以上是电信基础设施而非团伙。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
CLV,未分类,,客户终身价值（Customer Lifetime Value），本项目以 Σ 活跃概率 × 预期洗码量 × 预期毛利率 建模，含 Scale／Margin／Retention／Risk 四引擎。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,D06基准；D06高精,D06基准,MIN
COO,能力值代码,,协同能力：同局共用 IP、对押率、选项一致率、代理链重合。,串谋与对打的主判据，C-06 与 §C06fix 的能力值出口,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
