"风险族","判定指标","计算口径","本次阈值","阈值来源","命中数"
"异常 IP","单链会员密度 member_per_chain","该会员所踩 IP 的一线塞号数","23.00","本窗口 IP 分布 P99（现算）","50"
"异常 IP","该 IP 注单占比 ip_order_share","该 IP 注单 ÷ 该会员全部注单","0.66","本窗口分布 P90（现算）","同上（与式合取）"
"异常 IP","该 IP 下注单数 n_orders_ip","样本量门槛","167","Wilson 区间宽度收敛至 0.15 反解（p=0.5，167 局）","同上（与式合取）"
"异常 IP","稀疏网段条件化","滤除 CGNAT／公共出口，否则榜首为电信基础设施","⚠️ 未启用（C08 缺席）","**本次名单未条件化，含公共出口噪声风险**","—"
"尾秒下注（画像）","tail_share","尾段注单 ÷ 全部注单","0.68","本窗口分布 P99（现算）","547"
"尾秒下注（画像）","n_rounds_tail","样本量门槛","167","Wilson 区间宽度 0.15 反解","同上（与式合取）"
"尾秒下注（画像）","经济量是否计入合计","E1 五重检验裁定其优势未能证实","**不计入**","主方案 §E1 尾段裁定（含 Simpson 分解与符号检验）","—"
"对打","opposite_rate","同局一庄一闲（完全对冲）之占比","1.00","完全反向（＝1）实测存在，故取其为阈","81"
"对打","n_same_round","同局次数（样本量门槛）","167","Wilson 反解与实测上限取小者，避免门槛高过全体最大值而名单恒空","—"
"同桌率","same_rate","同桌同局注单 ÷ 该对较少一方注单","0.35","本窗口分布 P99（现算）","3,465"
"同桌率","相对倍数（活跃度校正代理量）","裸同桌率 ÷ 全体中位数","16.09","**校正未完备**：完备校正须桌数与局数分母（本包导出件不含），故本族名单只作候选，不作判定","—"
"同桌率","n_same_orders","同桌注单数（样本量门槛）","167","Wilson 反解与实测上限取小者","同上（与式合取）"
