type_id,name_zh,file_stem,filename,template_version,registry_version,gate,severity,instantiation_state,blocked_reason,generated
T-01,同桌聚集,同桌聚集,T-01_同桌聚集_商业方案_v1.4.4.qmd,1.4.4,1.5.004,CONDITIONAL,S3,CAST_AND_RENDERED,"",2026-09-03
T-02,荷官—玩家串谋,荷官_玩家串谋,T-02_荷官_玩家串谋_商业方案_v1.4.4.qmd,1.4.4,1.5.004,BLOCK,S2,CAST_NOT_RENDERED,N-5 判据语义裁决未毕（OUTCOME_BASED=0 / win_rate_all 误标）· 已铸未渲,2026-09-03
T-03,尾投／靴尾下注,尾投／靴尾下注,T-03_尾投／靴尾下注_商业方案_v1.4.4.qmd,1.4.4,1.5.004,FATAL,S1,CAST_AND_RENDERED,"",2026-09-03
T-04,跨账户对打／对冲,跨账户对打／对冲,T-04_跨账户对打／对冲_商业方案_v1.4.4.qmd,1.4.4,1.5.004,ADVISORY,S4,CAST_NOT_RENDERED,N-5 判据语义裁决未毕（OUTCOME_BASED=0 / win_rate_all 误标）· 已铸未渲,2026-09-03
T-05,自我对冲／打水,自我对冲／打水,T-05_自我对冲／打水_商业方案_v1.4.4.qmd,1.4.4,1.5.004,ADVISORY,S4,CAST_NOT_RENDERED,N-5 判据语义裁决未毕（OUTCOME_BASED=0 / win_rate_all 误标）· 已铸未渲,2026-09-03
T-06,异常 IP 聚集,异常 IP 聚集,T-06_异常 IP 聚集_商业方案_v1.4.4.qmd,1.4.4,1.5.004,CONDITIONAL,S3,CAST_NOT_RENDERED,N-5 判据语义裁决未毕（OUTCOME_BASED=0 / win_rate_all 误标）· 已铸未渲,2026-09-03
T-07,技术型玩家（优势打法）,技术型玩家_优势打法_,T-07_技术型玩家_优势打法__商业方案_v1.4.4.qmd,1.4.4,1.5.004,CONDITIONAL,S3,CAST_NOT_RENDERED,N-5 判据语义裁决未毕（OUTCOME_BASED=0 / win_rate_all 误标）· 已铸未渲,2026-09-03
T-08,退水／占成套利,退水／占成套利,T-08_退水／占成套利_商业方案_v1.4.4.qmd,1.4.4,1.5.004,ADVISORY,S4,CAST_NOT_RENDERED,N-5 判据语义裁决未毕（OUTCOME_BASED=0 / win_rate_all 误标）· 已铸未渲,2026-09-03
T-09,代理线自打／养号,代理线自打／养号,T-09_代理线自打／养号_商业方案_v1.4.4.qmd,1.4.4,1.5.004,CONDITIONAL,S3,CAST_NOT_RENDERED,N-5 判据语义裁决未毕（OUTCOME_BASED=0 / win_rate_all 误标）· 已铸未渲,2026-09-03
T-10,账务恒等式残差（内控对账／内部舞弊侦测）,账务恒等式残差_内控对账／内部舞弊侦测_,T-10_账务恒等式残差_内控对账／内部舞弊侦测__商业方案_v1.4.4.qmd,1.4.4,1.5.004,ADVISORY,S4,CAST_NOT_RENDERED,N-5 判据语义裁决未毕（OUTCOME_BASED=0 / win_rate_all 误标）· 已铸未渲,2026-09-03
T-11,多账户／共享设备,多账户／共享设备,T-11_多账户／共享设备_商业方案_v1.4.4.qmd,1.4.4,1.5.004,BLOCK,S2,CAST_NOT_RENDERED,N-5 判据语义裁决未毕（OUTCOME_BASED=0 / win_rate_all 误标）· 已铸未渲,2026-09-03
T-12,机器人／脚本下注,机器人／脚本下注,T-12_机器人／脚本下注_商业方案_v1.4.4.qmd,1.4.4,1.5.004,CONDITIONAL,S3,CAST_NOT_RENDERED,N-5 判据语义裁决未毕（OUTCOME_BASED=0 / win_rate_all 误标）· 已铸未渲,2026-09-03
T-13,夜间异常活动,夜间异常活动,T-13_夜间异常活动_商业方案_v1.4.4.qmd,1.4.4,1.5.004,CONDITIONAL,S3,CAST_NOT_RENDERED,N-5 判据语义裁决未毕（OUTCOME_BASED=0 / win_rate_all 误标）· 已铸未渲,2026-09-03
T-14,限红试探,限红试探,T-14_限红试探_商业方案_v1.4.4.qmd,1.4.4,1.5.004,BLOCK,S2,CAST_NOT_RENDERED,N-5 判据语义裁决未毕（OUTCOME_BASED=0 / win_rate_all 误标）· 已铸未渲,2026-09-03
T-15,静默复活／账户接管,静默复活／账户接管,T-15_静默复活／账户接管_商业方案_v1.4.4.qmd,1.4.4,1.5.004,CONDITIONAL,S3,CAST_NOT_RENDERED,N-5 判据语义裁决未毕（OUTCOME_BASED=0 / win_rate_all 误标）· 已铸未渲,2026-09-03
